Accessions	Gene	Description	GeneSymbol	Unique_peptides	MCF7.SiCTRL.EtOH.Rep.1	MCF7.SiCTRL.EtOH.Rep.2	MCF7.SiCTRL.E2.Rep.1	MCF7.SiCTRL.E2.Rep.2	MCF7.SiCTRL.E2.Rep.3	MCF7.SiCTRL.E2.Rep.4	MCF7.SiCTRL.EtOH.Rep.3	MCF7.SiCTRL.EtOH.Rep.4	log2FC	AvgIntensity	t	P.Value	adj.P.Val	B
Q9H0S4	DDX47_HUMAN	Probable ATP-dependent RNA helicase DDX47 OS=Homo sapiens OX=9606 GN=DDX47 PE=1 SV=1	DDX47	5	7.64	7.74	7.82	7.47	8.56	8.91	8.55	9.42	-0.15	8.206750939	-0.95	0.36	0.63	-6.36
Q6ZRV2	FA83H_HUMAN	Protein FAM83H OS=Homo sapiens OX=9606 GN=FAM83H PE=1 SV=3	FAM83H	5	8.15	7.96	8.43	8.1	8.2	8.48	8.11	8.51	0.12	8.250526405	0.95	0.36	0.63	-6.37
P62263	RS14_HUMAN	40S ribosomal protein S14 OS=Homo sapiens OX=9606 GN=RPS14 PE=1 SV=3	RPS14	5	9.7	9.67	9.38	9.71	9.47	9.71	9.55	9.75	-0.1	9.626232115	-0.95	0.36	0.63	-6.37
Q3LXA3	TKFC_HUMAN	Triokinase/FMN cyclase OS=Homo sapiens OX=9606 GN=TKFC PE=1 SV=2	TKFC	1	5.39	5.02	5.71	5.28	5.51	5.63	5.5	5.69	0.13	5.469453287	0.95	0.36	0.63	-6.37
P13639	EF2_HUMAN	Elongation factor 2 OS=Homo sapiens OX=9606 GN=EEF2 PE=1 SV=4	EEF2	17	11.23	11.61	11.08	11.49	11.39	11.54	11.48	11.66	-0.12	11.40877578	-0.95	0.36	0.63	-6.37
Q8TEX9	IPO4_HUMAN	Importin-4 OS=Homo sapiens OX=9606 GN=IPO4 PE=1 SV=2	IPO4	1	4.53	5.42	4.71	4.74	4.58	4.62	4.68	4.83	-0.2	4.711399407	-0.95	0.36	0.63	-6.37
Q15046	SYK_HUMAN	Lysine--tRNA ligase OS=Homo sapiens OX=9606 GN=KARS PE=1 SV=3	KARS	2	7.59	7.98	7.31	7.99	7.2	7.45	7.37	7.53	-0.13	7.557992814	-0.94	0.36	0.64	-6.37
Q9H1E3	NUCKS_HUMAN	Nuclear ubiquitous casein and cyclin-dependent kinase substrate 1 OS=Homo sapiens OX=9606 GN=NUCKS1 PE=1 SV=1	NUCKS1	2	7.01	7.14	7.55	7.39	7.92	8.05	7.88	8.38	0.13	7.72169495	0.94	0.36	0.64	-6.37
O15231	ZN185_HUMAN	Zinc finger protein 185 OS=Homo sapiens OX=9606 GN=ZNF185 PE=1 SV=3	ZNF185	1	6.32	6.02	6.38	5.81	5.81	5.87	6.01	5.99	-0.11	5.991746824	-0.94	0.36	0.64	-6.37
Q13895	BYST_HUMAN	Bystin OS=Homo sapiens OX=9606 GN=BYSL PE=1 SV=3	BYSL	1	5.29	4.53	5.18	4.65	5.63	5.83	5.87	6.43	-0.2	5.394643305	-0.94	0.36	0.64	-6.37
Q15847	ADIRF_HUMAN	Adipogenesis regulatory factor OS=Homo sapiens OX=9606 GN=ADIRF PE=1 SV=1	ADIRF	2	6.95	6.77	7.31	6.92	7.38	7.61	7.35	7.7	0.11	7.201300448	0.94	0.36	0.64	-6.38
P49773	HINT1_HUMAN	Histidine triad nucleotide-binding protein 1 OS=Homo sapiens OX=9606 GN=HINT1 PE=1 SV=2	HINT1	1	6.48	7.18	5.29	7.12	6.94	6.19	6.65	6.47	-0.31	6.55377901	-0.93	0.37	0.64	-6.38
O00764	PDXK_HUMAN	Pyridoxal kinase OS=Homo sapiens OX=9606 GN=PDXK PE=1 SV=1	PDXK	1	2.08	2.81	2.94	2.7	3.13	3.48	3.11	3.44	0.21	2.87384033	0.93	0.37	0.64	-6.38
P52943	CRIP2_HUMAN	Cysteine-rich protein 2 OS=Homo sapiens OX=9606 GN=CRIP2 PE=1 SV=1	CRIP2	3	9.93	10.62	10.07	10.93	10.14	9.81	9.93	9.78	0.17	10.19383369	0.92	0.37	0.65	-6.39
Q9NR45	SIAS_HUMAN	Sialic acid synthase OS=Homo sapiens OX=9606 GN=NANS PE=1 SV=2	NANS	4	7.02	7.64	7.34	7.67	8.36	8.24	8.16	8.36	0.11	7.846910477	0.92	0.37	0.65	-6.39
Q08211	DHX9_HUMAN	ATP-dependent RNA helicase A OS=Homo sapiens OX=9606 GN=DHX9 PE=1 SV=4	DHX9	32	12.31	12.51	12.2	12.58	12.38	12.63	12.44	12.91	-0.1	12.4906381	-0.92	0.37	0.65	-6.39
Q14974	IMB1_HUMAN	Importin subunit beta-1 OS=Homo sapiens OX=9606 GN=KPNB1 PE=1 SV=2	KPNB1	4	7.81	7.8	7.72	7.75	7.88	8.1	7.95	8.23	-0.08	7.897119782	-0.92	0.37	0.65	-6.39
Q9HCD6	TANC2_HUMAN	Protein TANC2 OS=Homo sapiens OX=9606 GN=TANC2 PE=1 SV=3	TANC2	1	5.96	5.95	6.17	6.08	5.03	5.29	4.99	5.21	0.11	5.540263678	0.92	0.37	0.65	-6.4
O15144	ARPC2_HUMAN	Actin-related protein 2/3 complex subunit 2 OS=Homo sapiens OX=9606 GN=ARPC2 PE=1 SV=1	ARPC2	5	9.45	9.66	9.23	9.51	9.66	9.71	9.83	9.61	-0.11	9.552112891	-0.91	0.38	0.66	-6.4
Q02543	RL18A_HUMAN	60S ribosomal protein L18a OS=Homo sapiens OX=9606 GN=RPL18A PE=1 SV=2	RPL18A	3	9.95	10.01	9.75	10	10.44	10.58	10.49	10.65	-0.08	10.23405757	-0.9	0.38	0.66	-6.41
P62191	PRS4_HUMAN	26S proteasome regulatory subunit 4 OS=Homo sapiens OX=9606 GN=PSMC1 PE=1 SV=1	PSMC1	3	7.16	7.43	7.08	7.43	6.98	7.12	7.14	7.31	-0.11	7.192209604	-0.9	0.38	0.67	-6.41
O60701	UGDH_HUMAN	UDP-glucose 6-dehydrogenase OS=Homo sapiens OX=9606 GN=UGDH PE=1 SV=1	UGDH	14	10.84	11.24	10.7	11.17	10.9	11.04	11.09	11.08	-0.11	10.98669714	-0.9	0.38	0.67	-6.41
P60983	GMFB_HUMAN	Glia maturation factor beta OS=Homo sapiens OX=9606 GN=GMFB PE=1 SV=2	GMFB	1	3.6	3.74	3.21	3.59	4.45	4.48	4.29	4.6	-0.13	3.997912065	-0.9	0.38	0.67	-6.41
P62979	RS27A_HUMAN	Ubiquitin-40S ribosomal protein S27a OS=Homo sapiens OX=9606 GN=RPS27A PE=1 SV=2	RPS27A	1	7.19	7.99	6.65	7.85	6.96	6.85	7.18	6.79	-0.21	7.179895938	-0.89	0.39	0.67	-6.41
P24941	CDK2_HUMAN	Cyclin-dependent kinase 2 OS=Homo sapiens OX=9606 GN=CDK2 PE=1 SV=2	CDK2	1	7.57	7.53	7.54	7.58	7.44	7.31	7.21	7.18	0.09	7.388868599	0.89	0.39	0.67	-6.41
P12429	ANXA3_HUMAN	Annexin A3 OS=Homo sapiens OX=9606 GN=ANXA3 PE=1 SV=3	ANXA3	3	7.64	7.34	7.72	7.19	9.92	9.8	10.3	9.96	-0.15	8.740541606	-0.89	0.39	0.67	-6.42
Q9BVJ7	DUS23_HUMAN	Dual specificity protein phosphatase 23 OS=Homo sapiens OX=9606 GN=DUSP23 PE=1 SV=1	DUSP23	2	7.32	7.53	7.31	7.61	7.89	7.65	7.66	7.48	0.12	7.518316638	0.89	0.39	0.67	-6.42
Q7KZF4	SND1_HUMAN	Staphylococcal nuclease domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SND1 PE=1 SV=1	SND1	12	10.12	10.22	9.79	10.17	9.57	9.94	9.86	9.79	-0.13	9.942372705	-0.89	0.39	0.67	-6.42
Q96LA8	ANM6_HUMAN	Protein arginine N-methyltransferase 6 OS=Homo sapiens OX=9606 GN=PRMT6 PE=1 SV=1	PRMT6	2	6.42	7.03	5.97	6.63	7.01	6.57	6.84	6.62	-0.18	6.618934247	-0.89	0.39	0.67	-6.42
Q92616	GCN1_HUMAN	eIF-2-alpha kinase activator GCN1 OS=Homo sapiens OX=9606 GN=GCN1 PE=1 SV=6	GCN1	7	8.31	8.52	8.17	8.39	8.38	8.64	8.53	8.63	-0.1	8.412760458	-0.88	0.39	0.67	-6.43
Q15149	PLEC_HUMAN	Plectin OS=Homo sapiens OX=9606 GN=PLEC PE=1 SV=3	PLEC	118	13.48	13.05	14.14	13.22	13.57	14.04	13.62	14.08	0.19	13.65522213	0.88	0.39	0.67	-6.43
Q8NC51	PAIRB_HUMAN	Plasminogen activator inhibitor 1 RNA-binding protein OS=Homo sapiens OX=9606 GN=SERBP1 PE=1 SV=2	SERBP1	5	9.46	9.47	8.97	9.41	8.47	8.91	8.65	8.66	-0.12	9.010715359	-0.88	0.39	0.67	-6.43
Q02413	DSG1_HUMAN	Desmoglein-1 OS=Homo sapiens OX=9606 GN=DSG1 PE=1 SV=2	DSG1	2	8.12	7.26	8.01	7.15	7.5	7.11	7.52	7.71	-0.21	7.450855173	-0.88	0.39	0.67	-6.43
Q15773	MLF2_HUMAN	Myeloid leukemia factor 2 OS=Homo sapiens OX=9606 GN=MLF2 PE=1 SV=1	MLF2	3	8.03	7.83	7.74	7.67	7.76	7.44	7.71	7.4	-0.09	7.668098763	-0.87	0.4	0.68	-6.43
Q96L91	EP400_HUMAN	E1A-binding protein p400 OS=Homo sapiens OX=9606 GN=EP400 PE=1 SV=4	EP400	2	6.56	6.59	6.1	6.5	5.76	5.38	5.72	5.41	-0.13	6.026237361	-0.87	0.4	0.68	-6.43
Q96KQ4	ASPP1_HUMAN	Apoptosis-stimulating of p53 protein 1 OS=Homo sapiens OX=9606 GN=PPP1R13B PE=1 SV=3	PPP1R13B	1	4.76	4.48	4.35	4.05	3.71	4.1	3.64	3.95	-0.16	4.031260428	-0.87	0.4	0.68	-6.43
P60981	DEST_HUMAN	Destrin OS=Homo sapiens OX=9606 GN=DSTN PE=1 SV=3	DSTN	1	7.55	8.19	7.46	7.91	7.65	7.73	7.63	7.83	-0.11	7.699754826	-0.87	0.4	0.68	-6.44
P62241	RS8_HUMAN	40S ribosomal protein S8 OS=Homo sapiens OX=9606 GN=RPS8 PE=1 SV=2	RPS8	7	11.08	10.86	10.68	10.91	11.15	11.36	11.37	11.19	-0.1	11.07782608	-0.87	0.4	0.68	-6.44
Q9NRY4	RHG35_HUMAN	Rho GTPase-activating protein 35 OS=Homo sapiens OX=9606 GN=ARHGAP35 PE=1 SV=3	ARHGAP35	1	3.92	4.45	3.7	4.08	4.26	4.61	4.61	4.3	-0.16	4.248426247	-0.87	0.4	0.68	-6.44
P84085	ARF5_HUMAN	ADP-ribosylation factor 5 OS=Homo sapiens OX=9606 GN=ARF5 PE=1 SV=2	ARF5	1	6.81	6.95	6.85	6.65	6.41	6.51	6.52	6.51	-0.09	6.575356043	-0.87	0.4	0.68	-6.44
Q9UL15	BAG5_HUMAN	BAG family molecular chaperone regulator 5 OS=Homo sapiens OX=9606 GN=BAG5 PE=1 SV=1	BAG5	1	3.27	4.1	3.68	4.04	3.55	2.73	3.66	3.78	-0.2	3.702465823	-0.86	0.4	0.68	-6.44
Q9UK59	DBR1_HUMAN	Lariat debranching enzyme OS=Homo sapiens OX=9606 GN=DBR1 PE=1 SV=2	DBR1	2	6.54	6.48	6.45	6.52	6	6.01	6.18	6.1	-0.08	6.183572615	-0.86	0.4	0.68	-6.44
P26373	RL13_HUMAN	60S ribosomal protein L13 OS=Homo sapiens OX=9606 GN=RPL13 PE=1 SV=4	RPL13	10	11.15	11.27	11.03	11.25	10.56	11.09	10.74	11.2	-0.11	11.02294489	-0.86	0.4	0.68	-6.44
P35606	COPB2_HUMAN	Coatomer subunit beta' OS=Homo sapiens OX=9606 GN=COPB2 PE=1 SV=2	COPB2	6	10.27	10.05	10.28	10.46	9.67	10.14	9.77	9.98	0.12	10.06427386	0.86	0.4	0.68	-6.44
Q9H993	ARMT1_HUMAN	Protein-glutamate O-methyltransferase OS=Homo sapiens OX=9606 GN=ARMT1 PE=1 SV=1	ARMT1	2	7.43	7.73	7.29	7.55	6.8	6.78	6.81	6.84	-0.09	7.134212914	-0.86	0.4	0.68	-6.44
O75947	ATP5H_HUMAN	"ATP synthase subunit d, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5H PE=1 SV=3"	ATP5H	1	4.14	4.05	4.23	4.03	2.88	1.92	2.99	2.49	-0.15	3.383932604	-0.86	0.4	0.68	-6.45
Q00341	VIGLN_HUMAN	Vigilin OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=2	HDLBP	4	8.33	8.54	8.11	8.43	7.25	7.59	7.43	7.56	-0.12	7.900777274	-0.86	0.4	0.68	-6.45
Q9UMS4	PRP19_HUMAN	Pre-mRNA-processing factor 19 OS=Homo sapiens OX=9606 GN=PRPF19 PE=1 SV=1	PRPF19	5	9.65	10.05	9.29	9.88	8.8	8.8	8.8	8.74	-0.12	9.298263871	-0.86	0.41	0.68	-6.45
Q13618	CUL3_HUMAN	Cullin-3 OS=Homo sapiens OX=9606 GN=CUL3 PE=1 SV=2	CUL3	1	5.04	5.42	5.21	5.69	6.7	6.55	6.62	6.56	0.12	6.023473767	0.86	0.41	0.68	-6.45
O14578	CTRO_HUMAN	Citron Rho-interacting kinase OS=Homo sapiens OX=9606 GN=CIT PE=1 SV=2	CIT	1	5.98	5.46	5.82	6.04	5.59	5.48	5.39	5.64	0.12	5.683619925	0.86	0.41	0.68	-6.45
Q13573	SNW1_HUMAN	SNW domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SNW1 PE=1 SV=1	SNW1	9	8.71	8.75	8.61	8.97	8.67	8.55	8.54	8.43	0.09	8.674606709	0.85	0.41	0.69	-6.45
Q12905	ILF2_HUMAN	Interleukin enhancer-binding factor 2 OS=Homo sapiens OX=9606 GN=ILF2 PE=1 SV=2	ILF2	10	10.24	10.41	10.35	10.78	10.83	11.06	10.71	11.22	0.11	10.68402417	0.85	0.41	0.69	-6.45
Q15437	SC23B_HUMAN	Protein transport protein Sec23B OS=Homo sapiens OX=9606 GN=SEC23B PE=1 SV=2	SEC23B	7	8.69	8.83	9.15	8.61	9.93	10	9.39	10.05	0.18	9.340240898	0.85	0.41	0.69	-6.45
Q92804	RBP56_HUMAN	TATA-binding protein-associated factor 2N OS=Homo sapiens OX=9606 GN=TAF15 PE=1 SV=1	TAF15	3	9.57	9.27	9.12	9.81	9.03	9.06	8.91	8.77	0.13	9.247140078	0.85	0.41	0.69	-6.45
P19388	RPAB1_HUMAN	"DNA-directed RNA polymerases I, II, and III subunit RPABC1 OS=Homo sapiens OX=9606 GN=POLR2E PE=1 SV=4"	POLR2E	1	2.98	2.97	2.33	2.7	2.04	2.9	2.15	2.73	-0.21	2.680252927	-0.85	0.41	0.69	-6.46
Q6DT37	MRCKG_HUMAN	Serine/threonine-protein kinase MRCK gamma OS=Homo sapiens OX=9606 GN=CDC42BPG PE=1 SV=2	CDC42BPG	1	4.63	5.41	4.94	4.82	5.09	5.26	5.24	5.31	-0.12	5.124191942	-0.85	0.41	0.69	-6.46
Q9NP81	SYSM_HUMAN	"Serine--tRNA ligase, mitochondrial OS=Homo sapiens OX=9606 GN=SARS2 PE=1 SV=1"	SARS2	1	7.1	6.73	7.12	6.34	5.09	5.24	5.4	5.2	-0.16	5.884830952	-0.84	0.41	0.69	-6.46
O75146	HIP1R_HUMAN	Huntingtin-interacting protein 1-related protein OS=Homo sapiens OX=9606 GN=HIP1R PE=1 SV=2	HIP1R	3	6.74	6.4	7.03	6.58	7.29	7.52	7.06	7.66	0.14	7.056247616	0.84	0.41	0.69	-6.46
A5YKK6	CNOT1_HUMAN	CCR4-NOT transcription complex subunit 1 OS=Homo sapiens OX=9606 GN=CNOT1 PE=1 SV=2	CNOT1	4	6.36	6.54	6.29	6.33	7.5	7.53	7.52	7.55	-0.08	6.912752903	-0.84	0.41	0.69	-6.46
Q9Y3U8	RL36_HUMAN	60S ribosomal protein L36 OS=Homo sapiens OX=9606 GN=RPL36 PE=1 SV=3	RPL36	2	9.35	9.76	9.18	9.58	8.99	9.37	9.14	9.25	-0.1	9.31275474	-0.84	0.41	0.69	-6.46
P25685	DNJB1_HUMAN	DnaJ homolog subfamily B member 1 OS=Homo sapiens OX=9606 GN=DNAJB1 PE=1 SV=4	DNAJB1	3	8.14	8.41	7.73	8.43	8.14	7.89	8.17	7.95	-0.12	8.107990723	-0.84	0.41	0.69	-6.46
P06737	PYGL_HUMAN	"Glycogen phosphorylase, liver form OS=Homo sapiens OX=9606 GN=PYGL PE=1 SV=4"	PYGL	1	2.4	2.63	2.85	2.55	3.28	3.71	3.28	3.3	0.19	2.976826654	0.84	0.41	0.69	-6.46
Q9P1Z0	ZBTB4_HUMAN	Zinc finger and BTB domain-containing protein 4 OS=Homo sapiens OX=9606 GN=ZBTB4 PE=1 SV=3	ZBTB4	1	5.88	5.67	6.21	5.47	4.98	5.18	5.3	5.55	-0.14	5.525381574	-0.84	0.42	0.69	-6.47
P62081	RS7_HUMAN	40S ribosomal protein S7 OS=Homo sapiens OX=9606 GN=RPS7 PE=1 SV=1	RPS7	7	10.09	10.16	9.73	10.02	9.17	9.62	9.5	9.3	-0.13	9.670318937	-0.84	0.42	0.69	-6.47
O75400	PR40A_HUMAN	Pre-mRNA-processing factor 40 homolog A OS=Homo sapiens OX=9606 GN=PRPF40A PE=1 SV=2	PRPF40A	4	7.31	7.49	7.08	7.51	8.39	8.28	8.54	8.29	-0.1	7.911947791	-0.84	0.42	0.69	-6.47
Q96EV2	RBM33_HUMAN	RNA-binding protein 33 OS=Homo sapiens OX=9606 GN=RBM33 PE=1 SV=3	RBM33	1	4.76	5.01	4.17	5.45	5.25	4.74	4.57	4.52	0.19	4.870610969	0.83	0.42	0.69	-6.47
Q14202	ZMYM3_HUMAN	Zinc finger MYM-type protein 3 OS=Homo sapiens OX=9606 GN=ZMYM3 PE=1 SV=2	ZMYM3	1	5.78	6.01	5.57	6.17	6.15	5.55	5.76	5.12	0.19	5.725222883	0.83	0.42	0.69	-6.47
P62280	RS11_HUMAN	40S ribosomal protein S11 OS=Homo sapiens OX=9606 GN=RPS11 PE=1 SV=3	RPS11	9	10.82	11.01	10.59	10.87	10.52	10.65	10.83	10.46	-0.12	10.69158083	-0.83	0.42	0.69	-6.47
P09874	PARP1_HUMAN	Poly [ADP-ribose] polymerase 1 OS=Homo sapiens OX=9606 GN=PARP1 PE=1 SV=4	PARP1	17	11.57	12.01	11.25	11.93	11.31	11.14	11.15	11.39	-0.12	11.46565362	-0.83	0.42	0.69	-6.47
P08729	K2C7_HUMAN	"Keratin, type II cytoskeletal 7 OS=Homo sapiens OX=9606 GN=KRT7 PE=1 SV=5"	KRT7	7	7.84	7.51	8.19	7.3	7.47	7.43	7.77	7.82	-0.14	7.638357393	-0.83	0.42	0.69	-6.47
P62829	RL23_HUMAN	60S ribosomal protein L23 OS=Homo sapiens OX=9606 GN=RPL23 PE=1 SV=1	RPL23	4	9.57	9.79	9.25	9.77	9.82	9.76	9.89	9.79	-0.11	9.723402278	-0.82	0.43	0.7	-6.48
O15049	N4BP3_HUMAN	NEDD4-binding protein 3 OS=Homo sapiens OX=9606 GN=N4BP3 PE=1 SV=3	N4BP3	2	6.23	6.12	6.03	6.02	6.89	6.64	6.94	6.64	-0.09	6.40464944	-0.82	0.43	0.7	-6.48
P58546	MTPN_HUMAN	Myotrophin OS=Homo sapiens OX=9606 GN=MTPN PE=1 SV=2	MTPN	2	8	8.55	8.09	8.49	8.34	8.4	8.06	8.35	0.09	8.272016181	0.81	0.43	0.7	-6.48
Q14980	NUMA1_HUMAN	Nuclear mitotic apparatus protein 1 OS=Homo sapiens OX=9606 GN=NUMA1 PE=1 SV=2	NUMA1	28	11.24	11.57	11.01	11.51	10.85	10.61	11.15	10.57	-0.13	11.04444426	-0.81	0.43	0.7	-6.48
P11387	TOP1_HUMAN	DNA topoisomerase 1 OS=Homo sapiens OX=9606 GN=TOP1 PE=1 SV=2	TOP1	18	11.57	11.54	11.43	11.56	11.34	11.35	11.28	11.61	-0.08	11.52760038	-0.81	0.43	0.7	-6.49
Q7L2J0	MEPCE_HUMAN	7SK snRNA methylphosphate capping enzyme OS=Homo sapiens OX=9606 GN=MEPCE PE=1 SV=1	MEPCE	3	7.78	7.96	7.71	7.86	7.57	7.61	7.58	7.74	-0.07	7.662485824	-0.81	0.43	0.7	-6.49
Q15397	PUM3_HUMAN	Pumilio homolog 3 OS=Homo sapiens OX=9606 GN=PUM3 PE=1 SV=3	PUM3	4	7.85	7.84	8.9	8.23	9.13	9.54	9.08	10.14	0.23	8.85620473	0.81	0.43	0.7	-6.49
Q9H0U4	RAB1B_HUMAN	Ras-related protein Rab-1B OS=Homo sapiens OX=9606 GN=RAB1B PE=1 SV=1	RAB1B	1	5.37	5.41	5.42	5.25	5.4	5.41	5.54	5.45	-0.08	5.344652958	-0.81	0.43	0.7	-6.49
P43307	SSRA_HUMAN	Translocon-associated protein subunit alpha OS=Homo sapiens OX=9606 GN=SSR1 PE=1 SV=3	SSR1	1	2.95	3.97	2.88	3.3	2.57	3.54	2.92	3.28	-0.21	3.143316105	-0.81	0.43	0.71	-6.49
Q01469	FABP5_HUMAN	"Fatty acid-binding protein, epidermal OS=Homo sapiens OX=9606 GN=FABP5 PE=1 SV=3"	FABP5	1	7.1	5.71	6.26	5.64	5.12	4.95	5.04	4.89	-0.19	5.633786574	-0.81	0.43	0.71	-6.49
P28072	PSB6_HUMAN	Proteasome subunit beta type-6 OS=Homo sapiens OX=9606 GN=PSMB6 PE=1 SV=4	PSMB6	1	5.58	5.2	5.5	5.1	5.54	5.73	5.94	5.62	-0.11	5.460473914	-0.8	0.43	0.71	-6.49
Q9Y3C0	WASC3_HUMAN	WASH complex subunit 3 OS=Homo sapiens OX=9606 GN=WASHC3 PE=1 SV=1	WASHC3	2	6.18	6.08	7.34	5.89	7.29	7.4	6.77	7.75	0.28	6.811597563	0.8	0.44	0.71	-6.49
Q7L5D6	GET4_HUMAN	Golgi to ER traffic protein 4 homolog OS=Homo sapiens OX=9606 GN=GET4 PE=1 SV=1	GET4	1	4.23	4.52	3.5	4.89	4.09	3.58	4.53	3.63	-0.21	4.298890038	-0.8	0.44	0.71	-6.49
Q13724	MOGS_HUMAN	Mannosyl-oligosaccharide glucosidase OS=Homo sapiens OX=9606 GN=MOGS PE=1 SV=5	MOGS	2	7.53	7.61	7.33	7.51	6.61	6.88	6.73	6.78	-0.08	7.083910692	-0.8	0.44	0.71	-6.49
Q92797	SYMPK_HUMAN	Symplekin OS=Homo sapiens OX=9606 GN=SYMPK PE=1 SV=2	SYMPK	1	3.49	4.23	3.21	3.82	2.79	3.4	2.88	3.18	-0.14	3.453410937	-0.8	0.44	0.71	-6.49
Q8IY33	MILK2_HUMAN	MICAL-like protein 2 OS=Homo sapiens OX=9606 GN=MICALL2 PE=1 SV=1	MICALL2	1	6.3	6.48	6.85	6.38	6.59	6.9	6.63	6.88	0.11	6.562804487	0.8	0.44	0.71	-6.5
P14618	KPYM_HUMAN	Pyruvate kinase PKM OS=Homo sapiens OX=9606 GN=PKM PE=1 SV=4	PKM	18	11.88	12.28	11.85	12.08	11.04	11.33	11.11	11.39	-0.09	11.6104476	-0.8	0.44	0.71	-6.5
Q01081	U2AF1_HUMAN	Splicing factor U2AF 35 kDa subunit OS=Homo sapiens OX=9606 GN=U2AF1 PE=1 SV=3	U2AF1	3	8.46	8.35	8.3	8.83	7.74	7.58	7.75	7.5	0.1	8.083081836	0.79	0.44	0.71	-6.5
P57737	CORO7_HUMAN	Coronin-7 OS=Homo sapiens OX=9606 GN=CORO7 PE=1 SV=2	CORO7	2	6.6	6.67	6.75	6.89	6.9	6.92	6.95	6.94	0.07	6.811684583	0.79	0.44	0.72	-6.5
P53999	TCP4_HUMAN	Activated RNA polymerase II transcriptional coactivator p15 OS=Homo sapiens OX=9606 GN=SUB1 PE=1 SV=3	SUB1	5	9.68	9.83	10.17	10.11	9.78	10.06	9.62	10.5	0.12	10.01146867	0.79	0.44	0.72	-6.5
Q13472	TOP3A_HUMAN	DNA topoisomerase 3-alpha OS=Homo sapiens OX=9606 GN=TOP3A PE=1 SV=1	TOP3A	1	5.51	5.06	5.6	5.18	4.96	4.71	4.7	4.72	0.11	4.961490054	0.79	0.44	0.72	-6.51
P47897	SYQ_HUMAN	Glutamine--tRNA ligase OS=Homo sapiens OX=9606 GN=QARS PE=1 SV=1	QARS	2	7.26	6.68	6.82	7.2	6.2	6.11	6.53	6.35	-0.12	6.639067802	-0.79	0.44	0.72	-6.51
P62753	RS6_HUMAN	40S ribosomal protein S6 OS=Homo sapiens OX=9606 GN=RPS6 PE=1 SV=1	RPS6	6	10.76	10.76	10.47	10.7	11.02	11.47	11.27	11.29	-0.11	10.95365785	-0.79	0.44	0.72	-6.51
P63173	RL38_HUMAN	60S ribosomal protein L38 OS=Homo sapiens OX=9606 GN=RPL38 PE=1 SV=2	RPL38	3	8.7	8.87	8.27	8.78	8.5	8.99	8.79	8.68	-0.13	8.704639472	-0.78	0.45	0.72	-6.51
Q06210	GFPT1_HUMAN	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1 OS=Homo sapiens OX=9606 GN=GFPT1 PE=1 SV=3	GFPT1	3	6.44	6.76	6.3	6.7	6.13	6.34	6.2	6.4	-0.08	6.426478544	-0.78	0.45	0.72	-6.51
Q01085	TIAR_HUMAN	Nucleolysin TIAR OS=Homo sapiens OX=9606 GN=TIAL1 PE=1 SV=1	TIAL1	4	9.33	9.43	8.87	9.45	8.18	8.03	8.31	7.92	-0.11	8.686113797	-0.78	0.45	0.72	-6.51
Q9UHD8	SEPT9_HUMAN	Septin-9 OS=Homo sapiens OX=9606 GN=SEPT9 PE=1 SV=2	Sep-09	11	10.08	10.15	9.89	10.02	10	10.05	10.02	10.08	-0.09	10.04645406	-0.78	0.45	0.72	-6.51
P05386	RLA1_HUMAN	60S acidic ribosomal protein P1 OS=Homo sapiens OX=9606 GN=RPLP1 PE=1 SV=1	RPLP1	1	8.3	8.46	7.97	8.41	7.76	8.28	8.27	8.05	-0.17	8.122893511	-0.78	0.45	0.72	-6.51
Q8WYA6	CTBL1_HUMAN	Beta-catenin-like protein 1 OS=Homo sapiens OX=9606 GN=CTNNBL1 PE=1 SV=1	CTNNBL1	2	5.73	5.61	5.88	6.21	6.16	6.02	6.12	6.31	0.12	6.101297366	0.77	0.45	0.72	-6.52
Q9Y3I0	RTCB_HUMAN	tRNA-splicing ligase RtcB homolog OS=Homo sapiens OX=9606 GN=RTCB PE=1 SV=1	RTCB	6	8.13	8.46	8.03	8.38	7.87	8	8.03	8	-0.08	8.112904893	-0.77	0.45	0.72	-6.52
Q8TCU6	PREX1_HUMAN	"Phosphatidylinositol 3,4,5-trisphosphate-dependent Rac exchanger 1 protein OS=Homo sapiens OX=9606 GN=PREX1 PE=1 SV=3"	PREX1	7	8.99	9.14	8.88	9.11	8.5	8.47	8.67	8.62	-0.11	8.798650795	-0.77	0.45	0.73	-6.52
O15213	WDR46_HUMAN	WD repeat-containing protein 46 OS=Homo sapiens OX=9606 GN=WDR46 PE=1 SV=3	WDR46	1	4.7	5	4.89	4.87	6.38	6.69	6.41	7.09	-0.09	5.75015894	-0.77	0.46	0.73	-6.52
Q99829	CPNE1_HUMAN	Copine-1 OS=Homo sapiens OX=9606 GN=CPNE1 PE=1 SV=1	CPNE1	1	3.56	4.17	3.53	4.14	3.71	3.65	3.23	3.51	0.14	3.662424226	0.76	0.46	0.73	-6.52
